id;child_part_no;child_part_name;qty_box;min_stock;max_stock;image_part
1;71074-BZR70;COVER SUB-ASSY,FR SEAT BACK,LH  ( LOW ) ;1;1;1;
2;71072-BZS60;COVER SUB-ASSY,FR SEAT BACK,LH  ( LOW ) ;1;1;1;
3;71074-BZR90;COVER SUB-ASSY,FR SEAT BACK,LH ( MID B STD );1;1;1;
4;71072-BZS90;COVER SUB-ASSY,FR SEAT CUSHION,LH ( MID B STD );1;1;1;
5;71074-BZR80;COVER SUB-ASSY,FR SEAT BACK,LH ( MID A );1;1;1;
6;71072-BZS70;COVER SUB-ASSY,FR SEAT CUSHION,LHS ( MID A );1;1;1;
7;71074-BZW30;COVER SUB-ASSY,FR SEAT BACK,LH (GR);1;1;1;
8;71072-BZW40;COVER SUB-ASSY,FR SEAT CUSHION,LH ( GR );1;1;1;
9;71074-BZS00;COVER SUB-ASSY,FR SEAT BACK,LH ( MID B LIFT );1;1;1;
10;71072-BZT00;COVER SUB-ASSY,FR SEAT CUSHION,LH ( MID B LIFT );1;1;1;
11;71074-BZS10;COVER SUB-ASSY,FR SEAT BACK,LH ( MID B LIFT A/B );1;1;1;
12;71074-BZP10;COVER SUB ASSY FR SEAT BACK LH;1;1;1;
13;71072-BZQ60;COVER SUB ASSY FR SEAT CUSHION LH;1;1;1;
14;71074-BZP70;COVER SUB ASSY FR SEAT BACK LH;1;1;1;
15;71074-BZP20;COVER SUB ASSY FR SEAT BACK LH;1;1;1;
16;71072-BZQ70;COVER SUB ASSY FR SEAT CUSHION LH;1;1;1;
17;71074-BZW50;COVER SUB ASSY FR SEAT BACK LH;1;1;1;
18;71072-BZQ80;COVER SUB ASSY FR SEAT CUSHION LH;1;1;1;
19;71074-BZX90;COVER SUB ASSY FR SEAT BACK LH;1;1;1;
20;71505-BZ640;PAD SUB-ASSY,FR SEAT BACK,RH;1;1;1;
21;71502-BZ550;PAD SUB-ASSY,FR SEAT CUSHION, LH ;1;1;1;
22;71506-BZ520;PAD SUB-ASSY,FR SEAT BACK,LH;1;1;1;
23;71502-BZ560;PAD SUB-ASSY,FR SEAT CUSHION,LH;1;1;1;
24;71502-BZ580;PAD SUB-ASSY,FR SEAT CUSHION,LH;1;1;1;
25;71506-BZ450;PAD SUB ASSY FR SEAT CUSHION;1;1;1;
26;71501-BZ570;PAD SUB ASSY FR BACK LH;1;1;1;
27;71506-BZ460;PAD SUB ASSY FR BACK LH;1;1;1;
28;71506-BZ530;PAD SUB-ASSY,FR SEAT BACK,LH A/B;1;1;1;
29;71502-BZ680;PAD SUB-ASSY,FR SEAT CUSHION,LH ( GR );1;1;1;
30;89953 - BZ010-00;SENSOR PASSANGGER;1;1;1;
31;72140-BZ390;TRACK ASSY,FR SEAT,INNER LH;1;1;1;
32;72120-BZ320;TRACK ASSY,FR SEAT,OUTER LH;1;1;1;
33;72140-BZ310;TRACK ASSY, FR SEAT, INNER LH;1;1;1;
34;72120-BZ290;TRACK ASSY, FR SEAT OUTER, LH;1;1;1;
35;72140-BZ350;TRACK ASSY, FR SEAT INNER, LH;1;1;1;
36;B120-87407;TRACK ASSY, FR SEAT, LH;1;1;1;
37;B120-97238;TRACK ASSY, FR SEAT, LH;1;1;1;
38;B404-87414;LINK SUB-ASSY  FR SEAT ADJUSTER  FR;1;1;1;
39;B404-87416;LINK SUB-ASSY FR SEAT ADJUSTER RR;1;1;1;
40;A024-87406;PLATE SUB-ASSY, FR SEAT BELT, LH;1;1;1;
41;A023-87406;REINFORCE SUB-ASSY  FR SEAT CUSH  RH;1;1;1;
42;71910-BZF90;HEADREST ASSY,FR SEAT;1;1;1;
43;71910-BZM00;HEADREST ASSY,FR SEAT;1;1;1;
44;72552-B1010;COVER, RECLINING HINGE, LH;1;1;1;
45;S266-00012;RIVET;1;1;1;
46;94185-60600;NUT LOCK;1;1;1;
47;89953-BZ010;SENSOR BELT WARNING ;1;1;1;
48;71910-BZG50;HEADREST ASSY FR SEAT;1;1;1;
49;71910-BZJ70;HEADREST ASSY FR SEAT;1;1;1;
50;71812-BZ280;SHIELD, FR SEAT CUSHION, LH;1;1;1;
51;B101-87409;BRACKET SUB-ASSY OUTER RH;1;1;1;
52;B101-87410;BRACKET SUB-ASSY INNER RH;1;1;1;
53;72211-BZ190;HANDLE, SEAT TRACK ADJUSTING;1;1;1;
54;72211-B1050;HANDLE, SEAT TRACK ADJUSTING P251;1;1;1;
55;82711-B4010;CLAMP, WIRING HARNESS D74A;1;1;1;
56;82711-B2530;CLAMP WIRING HARNESS D55L;1;1;1;
57;A103-87418;FRAME SUB-ASSY, FR SEAT RH;1;1;1;
58;A103-87419;FRAME SUB-ASSY, FR SEAT RH;1;1;1;
59;A104-87412;FRAME SUB-ASSY, FR SEAT LH;1;1;1;
60;A103-972U4;FRAME SUB-ASSY, FR SEAT RH;1;1;1;
61;A103-87601;FRAME SUB-ASSY, FR SEAT RH;1;1;1;
62;73920-BZ090;AIR BAG ASSY, FR SEAT, LH;1;1;1;
63;71051-BZ010;SPRING SUB-ASSY, FR SEAT CUSHION;1;1;1;
64;A695-97223;PROTECTOR, RR SEAT NO.1;1;1;1;
65;73920-BZ040;AIR BAG ASSY, FR SEAT, LH;1;1;1;
66;S510-00022;SPRING, SPIRAL OUTER;1;1;1;
67;S510-00019;SPRING, SPIRAL INNER;1;1;1;
68;71073-BZU70;COVER SUB-ASSY,FR SEAT BACK,RH;1;1;1;
69;71071-BZS70;COVER SUB-ASSY,FR SEAT CUSHION,RH;1;1;1;
70;71073-BZV00;COVER SUB-ASSY,FR SEAT BACK,RH;1;1;1;
71;71071-BZT00;COVER SUB-ASSY,FR SEAT CUSHION,RH;1;1;1;
72;71073-BZU80;COVER SUB-ASSY,FR SEAT BACK,RH;1;1;1;
73;71071-BZS80;COVER SUB-ASSY,FR SEAT CUSHION,RH;1;1;1;
74;71073-BZZ70;COVER SUB-ASSY,FR SEAT BACK,RH;1;1;1;
75;71071-BZW60;COVER SUB-ASSY,FR SEAT CUSHION,RH;1;1;1;
76;71073-BZV10;COVER SUB-ASSY,FR SEAT BACK,RH;1;1;1;
77;71071-BZT10;COVER SUB-ASSY,FR SEAT CUSHION,RH;1;1;1;
78;71073-BZV20;COVER SUB-ASSY,FR SEAT BACK,RH;1;1;1;
79;71073-BZS60;COVER SUB ASSY FR SEAT BACK RH;1;1;1;
80;71071-BZQ60;COVER SUB ASSY FR SEAT CUSHION RH;1;1;1;
81;71073-BZS70;COVER SUB ASSY FR SEAT BACK RH;1;1;1;
82;71071-BZQ80;COVER SUB ASSY FR SEAT CUSHION RH;1;1;1;
83;71073-BZZ90;COVER SUB ASSY FR SEAT BACK RH;1;1;1;
84;71071-BZQ70;COVER SUB ASSY FR SEAT CUSHION RH;1;1;1;
85;71073-BZS80;COVER SUB ASSY FR SEAT BACK RH;1;1;1;
86;71071-BZR00;COVER SUB ASSY FR SEAT CUSHION RH;1;1;1;
87;71073-BZS90;COVER SUB ASSY FR SEAT BACK RH;1;1;1;
88;71501-BZ630;PAD SUB-ASSY,FR SEAT CUSHION,RH;1;1;1;
89;71505-BZ650;PAD SUB-ASSY,FR SEAT BACK,RH;1;1;1;
90;71501-BZ650;PAD SUB-ASSY,FR SEAT CUSHION,RH;1;1;1;
91;71501-BZ660;PAD SUB-ASSY,FR SEAT CUSHION,RH;1;1;1;
92;71505-BZ590;PAD SUB ASSY FR BACK RH;1;1;1;
93;71505-BZ580;PAD SUB ASSY FR BACK RH;1;1;1;
94;71505-BZ660;PAD SUB-ASSY,FR SEAT BACK,RH;1;1;1;
95;71501-BZ800;PAD SUB-ASSY,FR SEAT CUSHION,RH;1;1;1;
96;72130-BZ390;TRACK ASSY,FR SEAT,INNER RH;1;1;1;
97;72110-BZ360;TRACK ASSY,FR SEAT,OUTER RH;1;1;1;
98;72130-BZ350;TRACK ASSY, FR SEAT INNER RH;1;1;1;
99;72110-BZ320;TRACK ASSY, FR SEAT OUTER, RH;1;1;1;
100;B110-87409;TRACK ASSY, FR SEAT, RH ( Yagura D74A);1;1;1;
101;B110-97257;TRACK ASSY, FR SEAT, RH;1;1;1;
102;A019-87401;PLATE SUB-ASSY,SEAT BELT,RH;1;1;1;
103;B404-87415;LINK SUB-ASSY, FR SEAT ADJUSTER, RR;1;1;1;
104;B404-97230;LINK SUB-ASSY, FR SEAT ADJUSTER, FR;1;1;1;
105;B404-97223;LINK SUB-ASSY, FR SEAT ADJUSTER, RR;1;1;1;
106;A023-97224;REINFORCE SUB-ASSY, FR SEAT CUSHION, RH;1;1;1;
107;A019-97206;PLATE S/A, FR SEAT BELT, RH;1;1;1;
108;B101-97239;BRACKET S/A ,INNER SEAT TRACK RH;1;1;1;
109;B101-97235;BRACKET SUB-ASSY, OUTER SEAT TRACK, RH;1;1;1;
110;A103-87423;FRAME SUB-ASSY, FR SEAT RH;1;1;1;
111;A103-87602;FRAME S/A, FR SEAT, RH;1;1;1;
112;73910-BZ040;AIRBAG ASSY , FR SEAT ,RH;1;1;1;
