ID;POS_LEVEL;CONTROLLER_NO;IP
1;SMALL1_L6;1;127.0.0.1
2;SMALL1_L7;2;127.0.0.2
3;SMALL1_L8;3;127.0.0.3
4;SMALL1_L9;4;127.0.0.4
5;SMALL1_L10;5;127.0.0.5
6;POSTING1_L6;6;127.0.0.6
7;POSTING1_L7;7;127.0.0.7
8;POSTING1_L8;8;127.0.0.8
9;POSTING1_L9;9;127.0.0.9
10;POSTING1_L10;10;127.0.0.10
11;BIG1_L6;11;127.0.0.11
12;BIG2_L6;12;127.0.0.12
13;BIG1_L7;13;127.0.0.13
14;BIG2_L7;14;127.0.0.14
15;BIG1_L8;15;127.0.0.15
16;BIG2_L8;16;127.0.0.16
17;BIG1_L9;17;127.0.0.17
18;BIG2_L9;18;127.0.0.18
19;BIG3_L9;19;127.0.0.19
20;BIG1_L10;20;127.0.0.20
21;BIG2_L10;21;127.0.0.21
22;BIG3_L10;22;127.0.0.22
23;BIG4_L10;23;127.0.0.23
75;COKOTEI;24;127.0.0.24
