ID;MODEL;PART_NO;PLC_CODE;JIG_NO
1;D26A;71100-BY190-C2;1;3
2;D26A;71200-BY420-C1;2;3
3;D26A;71100-BY550-C2;3;3
4;D26A;71200-BY810-C2;4;3
5;D26A;71100-BY560-C2;5;3
6;D26A;71200-BY830-C2;6;3
7;D26A;71100-BY360-C2;7;3
8;D26A;71200-BY440-C1;8;3
9;D26A;71100-BY330-C2;9;3
10;D26A;71200-BY580-C2;10;3
11;D26A;71100-BY250-C2;11;3
12;D26A;71200-BY820-C2;12;3
13;D26A;71100-BY220-C2;13;3
14;D26A;71200-BY470-C2;14;3
15;D26A;71200-BY490-C2;15;3
16;D26A;71100-BY230-C3;16;3
17;D26A;71200-BY500-C3;17;3
18;D26A;71100-BY210-C2;18;3
19;D26A;71200-BY460-C2;19;3
20;D79L;71100-BZQ41-E0;20;4
21;D79L;71200-BZV11-E0;21;4
22;D79L;71100-BZZ00-E0;22;4
23;D79L;71200-BZV00-E1;23;4
24;D26A;79200-BZD20-C1;0;2
25;D26A;79210-BZ250-C1;0;2
26;D26A;79200-BZD10-C1;0;2
27;D26A;79210-BZ240-C1;0;2
28;D26A;79200-BZD00-C1;0;2
29;D26A;79210-BZ230-C1;0;2
30;D79L;79200-BZA90-E1;0;5
31;D26A;71300-BZL00-C4;0;1
32;D26A;71400-BZJ40-C3;0;1
33;D26A;71300-BZM30-C4;0;1
34;D26A;71400-BZK70-C3;0;1
35;D26A;71300-BZK90-C3;0;1
36;D26A;71400-BZJ30-C2;0;1
37;D26A;71300-BZK80-C3;0;1
38;D26A;71400-BZJ20-C2;0;1
39;D26A;71300-BZM20-C5;0;1
40;D26A;71400-BZJ80-C4;0;1
41;D26A;71300-BZL60-C3;0;1
42;D26A;71400-BZJ80-C4;0;1
43;D79L;71300-BZF00-E2;0;5
44;D79L;71400-BZD60-E2;0;5
