id;shop;seat_code;Side;lifting_no;base_pallet;CodePLC
1;2;FR;RH;1;1;1
2;2;FR;RH;2;1;1
3;2;RR1;RH;1;1;1
4;2;RR1;RH;2;1;1
5;2;FR;RH;3;2;2
6;2;FR;RH;4;2;2
7;2;RR1;RH;3;2;2
8;2;RR1;RH;4;2;2
9;2;FR;RH;5;3;3
10;2;FR;RH;6;3;3
11;2;RR1;RH;5;3;3
12;2;RR1;RH;6;3;3
13;2;FR;RH;7;4;4
14;2;FR;RH;8;4;4
15;2;RR1;RH;7;4;4
16;2;RR1;RH;8;4;4
17;2;FR;RH;9;5;5
18;2;FR;RH;10;5;5
19;2;RR1;RH;9;5;5
20;2;RR1;RH;10;5;5
21;2;FR;RH;11;6;6
22;2;FR;RH;12;6;6
23;2;RR1;RH;11;6;6
24;2;RR1;RH;12;6;6
25;2;FR;RH;13;7;7
26;2;FR;RH;14;7;7
27;2;RR1;RH;13;7;7
28;2;RR1;RH;14;7;7
29;2;FR;RH;15;8;8
30;2;FR;RH;16;8;8
31;2;RR1;RH;15;8;8
32;2;RR1;RH;16;8;8
33;2;FR;RH;17;9;9
34;2;FR;RH;18;9;9
35;2;RR1;RH;17;9;9
36;2;RR1;RH;18;9;9
37;2;FR;RH;19;10;10
38;2;FR;RH;20;10;10
39;2;RR1;RH;19;10;10
40;2;RR1;RH;20;10;10
41;2;FR;RH;21;11;11
42;2;FR;RH;22;11;11
43;2;RR1;RH;21;11;11
44;2;RR1;RH;22;11;11
45;2;FR;RH;23;12;12
46;2;FR;RH;24;12;12
47;2;RR1;RH;23;12;12
48;2;RR1;RH;24;12;12
49;2;FR;LH;1;13;13
50;2;FR;LH;2;13;13
51;2;RR1;LH;1;13;13
52;2;RR1;LH;2;13;13
53;2;FR;LH;3;14;14
54;2;FR;LH;4;14;14
55;2;RR1;LH;3;14;14
56;2;RR1;LH;4;14;14
57;2;FR;LH;5;15;15
58;2;FR;LH;6;15;15
59;2;RR1;LH;5;15;15
60;2;RR1;LH;6;15;15
61;2;FR;LH;7;16;16
62;2;FR;LH;8;16;16
63;2;RR1;LH;7;16;16
64;2;RR1;LH;8;16;16
65;2;FR;LH;9;17;17
66;2;FR;LH;10;17;17
67;2;RR1;LH;9;17;17
68;2;RR1;LH;10;17;17
69;2;FR;LH;11;18;18
70;2;FR;LH;12;18;18
71;2;RR1;LH;11;18;18
72;2;RR1;LH;12;18;18
73;2;FR;LH;13;19;19
74;2;FR;LH;14;19;19
75;2;RR1;LH;13;19;19
76;2;RR1;LH;14;19;19
77;2;FR;LH;15;20;20
78;2;FR;LH;16;20;20
79;2;RR1;LH;15;20;20
80;2;RR1;LH;16;20;20
81;2;FR;LH;17;21;21
82;2;FR;LH;18;21;21
83;2;RR1;LH;17;21;21
84;2;RR1;LH;18;21;21
85;2;FR;LH;19;22;22
86;2;FR;LH;20;22;22
87;2;RR1;LH;19;22;22
88;2;RR1;LH;20;22;22
89;2;FR;LH;21;23;23
90;2;FR;LH;22;23;23
91;2;RR1;LH;21;23;23
92;2;RR1;LH;22;23;23
93;2;FR;LH;23;24;24
94;2;FR;LH;24;24;24
95;2;RR1;LH;23;24;24
96;2;RR1;LH;24;24;24
97;2;RR2;BENCH;1;25;25
98;2;RR2;BENCH;2;26;26
99;2;RR2;BENCH;3;27;27
100;2;RR2;BENCH;4;28;28
101;2;RR2;BENCH;5;29;29
102;2;RR2;BENCH;6;30;30
103;2;RR2;BENCH;7;31;31
104;2;RR2;BENCH;8;32;32
105;2;RR2;BENCH;9;33;33
106;2;RR2;BENCH;10;34;34
107;2;RR2;BENCH;11;35;35
108;2;RR2;BENCH;12;36;36
109;2;RR2;BENCH;13;37;37
110;2;RR2;BENCH;14;38;38
111;2;RR2;BENCH;15;39;39
112;2;RR2;BENCH;16;40;40
113;2;RR2;BENCH;17;41;41
114;2;RR2;BENCH;18;42;42
115;2;RR2;BENCH;19;43;43
116;2;RR2;BENCH;20;44;44
117;2;RR2;BENCH;21;45;45
118;2;RR2;BENCH;22;46;46
119;2;RR2;BENCH;23;47;47
120;2;RR2;BENCH;24;48;48
