ID;CONTROLLER_NO;PICKING_NO;ADDRESS;POSITION;model;SEAT_CODE;SIDE;PART_NO;SUFFIX_MASTER;QRCODE;SCAN_DATE;AGE;COLOR
1;24;1;1;1;D74A;FR;RH;;;;;;
2;24;2;1;2;D74A;FR;RH;;;;;;
3;24;3;1;3;D74A;FR;RH;;;;;;
4;24;4;1;4;D74A;FR;RH;;;;;;
5;24;5;1;5;D74A;FR;RH;;;;;;
6;24;6;1;6;D74A;FR;RH;;;;;;
7;24;7;1;7;D74A;FR;RH;;;;;;
8;24;8;1;8;D74A;FR;RH;;;;;;
9;24;9;1;9;D74A;FR;RH;;;;;;
10;24;10;1;10;D74A;FR;RH;;;;;;
11;24;11;2;1;D74A;FR;LH;;;;;;
12;24;12;2;2;D74A;FR;LH;;;;;;
13;24;13;2;3;D74A;FR;LH;;;;;;
14;24;14;2;4;D74A;FR;LH;;;;;;
15;24;15;2;5;D74A;FR;LH;;;;;;
16;24;16;2;6;D74A;FR;LH;;;;;;
17;24;17;2;7;D74A;FR;LH;;;;;;
18;24;18;2;8;D74A;FR;LH;;;;;;
19;24;19;2;9;D74A;FR;LH;;;;;;
20;24;20;2;10;D74A;FR;LH;;;;;;
21;24;21;3;1;D74A;RR1;LH;;;;;;
22;24;22;3;2;D74A;RR1;LH;;;;;;
23;24;23;3;3;D74A;RR1;LH;;;;;;
24;24;24;3;4;D74A;RR1;LH;;;;;;
25;24;25;3;5;D74A;RR1;LH;;;;;;
26;24;26;3;6;D74A;RR1;LH;;;;;;
27;24;27;3;7;D74A;RR1;LH;;;;;;
28;24;28;3;8;D74A;RR1;LH;;;;;;
29;24;29;3;9;D74A;RR1;LH;;;;;;
30;24;30;3;10;D74A;RR1;LH;;;;;;
31;24;31;4;1;D74A;RR1;RH;;;;;;
32;24;32;4;2;D74A;RR1;RH;;;;;;
33;24;33;4;3;D74A;RR1;RH;;;;;;
34;24;34;4;4;D74A;RR1;RH;;;;;;
35;24;35;4;5;D74A;RR1;RH;;;;;;
36;24;36;4;6;D74A;RR1;RH;;;;;;
37;24;37;4;7;D74A;RR1;RH;;;;;;
38;24;38;4;8;D74A;RR1;RH;;;;;;
39;24;39;4;9;D74A;RR1;RH;;;;;;
40;24;40;4;10;D74A;RR1;RH;;;;;;
41;24;41;5;1;D74A;RR2;Bench;;;;;;
42;24;42;5;2;D74A;RR2;Bench;;;;;;
43;24;43;5;3;D74A;RR2;Bench;;;;;;
44;24;44;5;4;D74A;RR2;Bench;;;;;;
45;24;45;5;5;D74A;RR2;Bench;;;;;;
46;24;46;5;6;D74A;RR2;Bench;;;;;;
47;24;47;5;7;D74A;RR2;Bench;;;;;;
48;24;48;5;8;D74A;RR2;Bench;;;;;;
49;24;49;5;9;D74A;RR2;Bench;;;;;;
50;24;50;5;10;D74A;RR2;Bench;;;;;;
51;24;51;5;11;D74A;RR2;Bench;;;;;;
52;24;52;5;12;D74A;RR2;Bench;;;;;;
53;24;53;5;13;D74A;RR2;Bench;;;;;;
54;24;54;5;14;D74A;RR2;Bench;;;;;;
55;24;55;5;15;D74A;RR2;Bench;;;;;;
